prototype,feature,value,count,topk_size,topk_freq,global_freq,lift,score,selected
0,department_name,Trousers,8,20,0.4,0.0164823089883525,24.268444444444444,24.268444444444444,True
0,graphical_appearance_name,Embroidery,3,20,0.15,0.012087026591458501,12.41,12.41,True
0,department_name,Basic 1,7,20,0.35,0.029228627939345102,11.97456140350877,11.97456140350877,True
0,section_name,Divided Basics,7,20,0.35,0.03208556149732621,10.908333333333331,10.908333333333331,False
0,department_name,Denim Trousers,3,20,0.15,0.0171416013478866,8.750641025641025,8.750641025641025,False
0,product_type_name,Unknown,1,20,0.05,0.006080140649036701,8.223493975903615,8.223493975903615,False
0,product_group_name,Unknown,1,20,0.05,0.006080140649036701,8.223493975903615,8.223493975903615,False
0,colour_group_name,Grey,5,20,0.25,0.031059995604717602,8.048938679245284,8.048938679245284,False
0,section_name,Ladies Denim,3,20,0.15,0.028862354406270604,5.1970812182741115,5.1970812182741115,False
0,garment_group_name,Trousers,8,20,0.4,0.0825580543549923,4.845075421472937,4.845075421472937,False
0,index_group_name,Divided,19,20,0.95,0.2062119991209435,4.606909413854352,4.606909413854352,False
0,colour_group_name,Blue,3,20,0.15,0.033330891509779505,4.50032967032967,4.50032967032967,False
0,garment_group_name,Jersey Basic,8,20,0.4,0.09003003442971211,4.442961757526445,4.442961757526445,False
0,section_name,Divided Collection,9,20,0.45,0.10409493809977291,4.322976776917664,4.322976776917664,False
0,perceived_colour_master_name,Grey,6,20,0.3,0.07113032012306791,4.21761071060762,4.21761071060762,False
0,product_type_name,Trousers,10,20,0.5,0.1310526701340561,3.815259921743991,3.815259921743991,False
0,garment_group_name,Trousers Denim,3,20,0.15,0.0430737674895612,3.4823979591836736,3.4823979591836736,False
0,department_name,Tops Knitwear,1,20,0.05,0.014357922496520402,3.4823979591836736,3.4823979591836736,False
0,product_type_name,T-shirt,4,20,0.2,0.05757819939931141,3.4735368956743002,3.4735368956743002,False
0,colour_group_name,Dark Blue,4,20,0.2,0.058970038824994506,3.391552795031056,3.391552795031056,False
0,perceived_colour_master_name,Blue,7,20,0.35,0.11933191707567212,2.932995702885205,2.932995702885205,False
0,product_group_name,Garment Lower body,10,20,0.5,0.2052596879349498,2.4359386152748037,2.4359386152748037,False
0,graphical_appearance_name,Melange,3,20,0.15,0.0617537176763607,2.429003558718861,2.429003558718861,False
0,colour_group_name,Pink,1,20,0.05,0.021024100798476303,2.3782229965156794,2.3782229965156794,False
0,graphical_appearance_name,Denim,3,20,0.15,0.074719800747198,2.0075000000000003,2.0075000000000003,False
0,product_type_name,Top,2,20,0.1,0.050692256977510806,1.9726878612716763,1.9726878612716763,False
0,product_type_name,Sweater,3,20,0.15,0.0791883378507069,1.894218316373728,1.894218316373728,False
0,department_name,Jersey Basic,1,20,0.05,0.026737967914438502,1.87,1.87,False
0,section_name,Womens Everyday Basics,1,20,0.05,0.027177496154127904,1.8397574123989218,1.8397574123989218,False
0,colour_group_name,Greenish Khaki,1,20,0.05,0.027910043220276903,1.7914698162729659,1.7914698162729659,False
