prototype,feature,value,count,topk_size,topk_freq,global_freq,lift,score,selected
0,genres,Crime,3,20,0.15,0.05696,2.633426966292135,2.633426966292135,True
0,genres,Drama,17,20,0.85,0.39584,2.14733225545675,2.14733225545675,True
0,genres,Thriller,5,20,0.25,0.14016,1.783675799086758,1.783675799086758,True
0,genres,War,1,20,0.05,0.0432,1.1574074074074074,1.1574074074074074,False
0,genres,Action,2,20,0.1,0.14528,0.6883259911894274,0.6883259911894274,False
0,genres,Romance,1,20,0.05,0.13312,0.3756009615384616,0.3756009615384616,False
0,genres,Comedy,2,20,0.1,0.32224,0.3103277060575968,0.3103277060575968,False
1,genres,Comedy,20,20,1.0,0.32224,3.103277060575968,3.103277060575968,True
1,genres,Fantasy,1,20,0.05,0.0208,2.403846153846154,2.403846153846154,False
1,genres,Sci-Fi,3,20,0.15,0.08032,1.8675298804780875,1.8675298804780875,True
1,genres,Musical,1,20,0.05,0.03392,1.474056603773585,1.474056603773585,False
1,genres,War,1,20,0.05,0.0432,1.1574074074074074,1.1574074074074074,False
1,genres,Horror,1,20,0.05,0.08512,0.587406015037594,0.587406015037594,False
1,genres,Drama,3,20,0.15,0.39584,0.3789409862570735,0.3789409862570735,False
2,genres,Crime,3,20,0.15,0.05696,2.633426966292135,2.633426966292135,True
2,genres,Documentary,1,20,0.05,0.02464,2.0292207792207795,2.0292207792207795,False
2,genres,Comedy,11,20,0.55,0.32224,1.7068023833167825,1.7068023833167825,True
2,genres,Drama,12,20,0.6,0.39584,1.515763945028294,1.515763945028294,True
2,genres,War,1,20,0.05,0.0432,1.1574074074074074,1.1574074074074074,False
2,genres,Thriller,2,20,0.1,0.14016,0.7134703196347032,0.7134703196347032,False
2,genres,Romance,1,20,0.05,0.13312,0.3756009615384616,0.3756009615384616,False
2,genres,Action,1,20,0.05,0.14528,0.3441629955947137,0.3441629955947137,False
3,genres,Crime,5,20,0.25,0.05696,4.389044943820225,4.389044943820225,True
