prototype,feature,value,count,topk_size,topk_freq,global_freq,lift,score,selected
0,genres,Comedy,19,20,0.95,0.32224,2.9481132075471694,2.9481132075471694,True
0,genres,Horror,4,20,0.2,0.08512,2.349624060150376,2.349624060150376,True
0,genres,War,1,20,0.05,0.0432,1.1574074074074074,1.1574074074074074,False
0,genres,Action,2,20,0.1,0.14528,0.6883259911894274,0.6883259911894274,False
1,genres,Western,3,20,0.15,0.0192,7.8125,7.8125,True
1,genres,Mystery,3,20,0.15,0.03072,4.8828125,4.8828125,True
1,genres,Drama,16,20,0.8,0.39584,2.021018593371059,2.021018593371059,True
1,genres,Musical,1,20,0.05,0.03392,1.474056603773585,1.474056603773585,False
1,genres,War,1,20,0.05,0.0432,1.1574074074074074,1.1574074074074074,False
1,genres,Thriller,3,20,0.15,0.14016,1.0702054794520548,1.0702054794520548,False
1,genres,Crime,1,20,0.05,0.05696,0.877808988764045,0.877808988764045,False
1,genres,Romance,1,20,0.05,0.13312,0.3756009615384616,0.3756009615384616,False
2,genres,Film-Noir,4,20,0.2,0.01248,16.025641025641026,16.025641025641026,True
2,genres,Crime,3,20,0.15,0.05696,2.633426966292135,2.633426966292135,True
2,genres,Sci-Fi,4,20,0.2,0.08032,2.49003984063745,2.49003984063745,True
2,genres,War,2,20,0.1,0.0432,2.314814814814815,2.314814814814815,False
2,genres,Thriller,6,20,0.3,0.14016,2.1404109589041096,2.1404109589041096,False
2,genres,Horror,3,20,0.15,0.08512,1.7622180451127818,1.7622180451127818,False
2,genres,Mystery,1,20,0.05,0.03072,1.6276041666666667,1.6276041666666667,False
2,genres,Animation,1,20,0.05,0.03264,1.531862745098039,1.531862745098039,False
2,genres,Drama,6,20,0.3,0.39584,0.757881972514147,0.757881972514147,False
2,genres,Comedy,1,20,0.05,0.32224,0.1551638530287984,0.1551638530287984,False
3,genres,Western,2,20,0.1,0.0192,5.208333333333334,5.208333333333334,True
3,genres,Crime,5,20,0.25,0.05696,4.389044943820225,4.389044943820225,True
3,genres,Thriller,12,20,0.6,0.14016,4.280821917808219,4.280821917808219,True
3,genres,Film-Noir,1,20,0.05,0.01248,4.006410256410256,4.006410256410256,False
3,genres,Horror,5,20,0.25,0.08512,2.93703007518797,2.93703007518797,False
3,genres,Action,6,20,0.3,0.14528,2.064977973568282,2.064977973568282,False
3,genres,Mystery,1,20,0.05,0.03072,1.6276041666666667,1.6276041666666667,False
3,genres,Drama,6,20,0.3,0.39584,0.757881972514147,0.757881972514147,False
3,genres,Sci-Fi,1,20,0.05,0.08032,0.6225099601593626,0.6225099601593626,False
3,genres,Adventure,1,20,0.05,0.08256,0.6056201550387598,0.6056201550387598,False
3,genres,Comedy,1,20,0.05,0.32224,0.1551638530287984,0.1551638530287984,False
4,genres,Drama,19,20,0.95,0.39584,2.399959579628132,2.399959579628132,True
4,genres,Romance,6,20,0.3,0.13312,2.253605769230769,2.253605769230769,True
4,genres,War,1,20,0.05,0.0432,1.1574074074074074,1.1574074074074074,False
4,genres,Comedy,3,20,0.15,0.32224,0.46549155908639517,0.46549155908639517,False
5,genres,Documentary,9,20,0.45,0.02464,18.262987012987015,18.262987012987015,True
5,genres,Fantasy,1,20,0.05,0.0208,2.403846153846154,2.403846153846154,False
5,genres,Crime,2,20,0.1,0.05696,1.75561797752809,1.75561797752809,True
5,genres,Comedy,8,20,0.4,0.32224,1.2413108242303872,1.2413108242303872,True
5,genres,Drama,8,20,0.4,0.39584,1.0105092966855296,1.0105092966855296,False
5,genres,Romance,1,20,0.05,0.13312,0.3756009615384616,0.3756009615384616,False
5,genres,Thriller,1,20,0.05,0.14016,0.3567351598173516,0.3567351598173516,False
6,genres,Children's,10,20,0.5,0.07488,6.677350427350427,6.677350427350427,True
6,genres,Fantasy,2,20,0.1,0.0208,4.807692307692308,4.807692307692308,True
6,genres,Animation,3,20,0.15,0.03264,4.595588235294117,4.595588235294117,True
6,genres,Adventure,7,20,0.35,0.08256,4.239341085271318,4.239341085271318,False
6,genres,Western,1,20,0.05,0.0192,2.604166666666667,2.604166666666667,False
6,genres,Comedy,13,20,0.65,0.32224,2.0171300893743793,2.0171300893743793,False
6,genres,Musical,1,20,0.05,0.03392,1.474056603773585,1.474056603773585,False
6,genres,Action,4,20,0.2,0.14528,1.3766519823788548,1.3766519823788548,False
6,genres,Sci-Fi,2,20,0.1,0.08032,1.245019920318725,1.245019920318725,False
6,genres,Crime,1,20,0.05,0.05696,0.877808988764045,0.877808988764045,False
6,genres,Romance,2,20,0.1,0.13312,0.7512019230769232,0.7512019230769232,False
6,genres,Thriller,1,20,0.05,0.14016,0.3567351598173516,0.3567351598173516,False
6,genres,Drama,1,20,0.05,0.39584,0.1263136620856912,0.1263136620856912,False
7,genres,Musical,8,20,0.4,0.03392,11.79245283018868,11.79245283018868,True
7,genres,Fantasy,1,20,0.05,0.0208,2.403846153846154,2.403846153846154,False
7,genres,Romance,6,20,0.3,0.13312,2.253605769230769,2.253605769230769,True
7,genres,Comedy,11,20,0.55,0.32224,1.7068023833167825,1.7068023833167825,True
7,genres,Mystery,1,20,0.05,0.03072,1.6276041666666667,1.6276041666666667,False
7,genres,War,1,20,0.05,0.0432,1.1574074074074074,1.1574074074074074,False
7,genres,Children's,1,20,0.05,0.07488,0.6677350427350428,0.6677350427350428,False
7,genres,Drama,5,20,0.25,0.39584,0.6315683104284558,0.6315683104284558,False
7,genres,Thriller,1,20,0.05,0.14016,0.3567351598173516,0.3567351598173516,False
8,genres,Action,9,20,0.45,0.14528,3.097466960352423,3.097466960352423,True
8,genres,Western,1,20,0.05,0.0192,2.604166666666667,2.604166666666667,False
8,genres,War,2,20,0.1,0.0432,2.314814814814815,2.314814814814815,True
8,genres,Crime,2,20,0.1,0.05696,1.75561797752809,1.75561797752809,True
8,genres,Comedy,11,20,0.55,0.32224,1.7068023833167825,1.7068023833167825,False
8,genres,Drama,6,20,0.3,0.39584,0.757881972514147,0.757881972514147,False
8,genres,Thriller,2,20,0.1,0.14016,0.7134703196347032,0.7134703196347032,False
8,genres,Adventure,1,20,0.05,0.08256,0.6056201550387598,0.6056201550387598,False
8,genres,Horror,1,20,0.05,0.08512,0.587406015037594,0.587406015037594,False
8,genres,Romance,1,20,0.05,0.13312,0.3756009615384616,0.3756009615384616,False
9,genres,Western,2,20,0.1,0.0192,5.208333333333334,5.208333333333334,True
9,genres,Action,14,20,0.7,0.14528,4.818281938325991,4.818281938325991,True
9,genres,Fantasy,2,20,0.1,0.0208,4.807692307692308,4.807692307692308,True
9,genres,Animation,2,20,0.1,0.03264,3.063725490196078,3.063725490196078,False
9,genres,Adventure,5,20,0.25,0.08256,3.0281007751937987,3.0281007751937987,False
9,genres,Children's,3,20,0.15,0.07488,2.003205128205128,2.003205128205128,False
9,genres,Sci-Fi,3,20,0.15,0.08032,1.8675298804780875,1.8675298804780875,False
9,genres,Thriller,4,20,0.2,0.14016,1.4269406392694064,1.4269406392694064,False
9,genres,War,1,20,0.05,0.0432,1.1574074074074074,1.1574074074074074,False
9,genres,Comedy,5,20,0.25,0.32224,0.775819265143992,0.775819265143992,False
9,genres,Romance,1,20,0.05,0.13312,0.3756009615384616,0.3756009615384616,False
9,genres,Drama,2,20,0.1,0.39584,0.2526273241713824,0.2526273241713824,False
10,genres,Children's,15,20,0.75,0.07488,10.01602564102564,10.01602564102564,True
10,genres,Fantasy,3,20,0.15,0.0208,7.211538461538462,7.211538461538462,True
10,genres,Musical,3,20,0.15,0.03392,4.422169811320755,4.422169811320755,True
10,genres,Adventure,7,20,0.35,0.08256,4.239341085271318,4.239341085271318,False
10,genres,Animation,2,20,0.1,0.03264,3.063725490196078,3.063725490196078,False
10,genres,Western,1,20,0.05,0.0192,2.604166666666667,2.604166666666667,False
10,genres,Comedy,14,20,0.7,0.32224,2.1722939424031775,2.1722939424031775,False
10,genres,Crime,1,20,0.05,0.05696,0.877808988764045,0.877808988764045,False
10,genres,Romance,2,20,0.1,0.13312,0.7512019230769232,0.7512019230769232,False
10,genres,Sci-Fi,1,20,0.05,0.08032,0.6225099601593626,0.6225099601593626,False
10,genres,Action,1,20,0.05,0.14528,0.3441629955947137,0.3441629955947137,False
