prototype,feature,value,count,topk_size,topk_freq,global_freq,lift,score,selected
0,genres,Romance,15,20,0.75,0.13312,5.634014423076923,5.634014423076923,True
0,genres,Drama,16,20,0.8,0.39584,2.021018593371059,2.021018593371059,True
0,genres,Action,2,20,0.1,0.14528,0.6883259911894274,0.6883259911894274,False
0,genres,Adventure,1,20,0.05,0.08256,0.6056201550387598,0.6056201550387598,False
0,genres,Comedy,3,20,0.15,0.32224,0.46549155908639517,0.46549155908639517,False
1,genres,Drama,17,20,0.85,0.39584,2.14733225545675,2.14733225545675,True
1,genres,Crime,1,20,0.05,0.05696,0.877808988764045,0.877808988764045,False
1,genres,Romance,2,20,0.1,0.13312,0.7512019230769232,0.7512019230769232,False
1,genres,Comedy,3,20,0.15,0.32224,0.46549155908639517,0.46549155908639517,False
2,genres,Horror,20,20,1.0,0.08512,11.74812030075188,11.74812030075188,True
2,genres,Sci-Fi,3,20,0.15,0.08032,1.8675298804780875,1.8675298804780875,True
2,genres,Thriller,5,20,0.25,0.14016,1.783675799086758,1.783675799086758,True
2,genres,Action,3,20,0.15,0.14528,1.032488986784141,1.032488986784141,False
2,genres,Crime,1,20,0.05,0.05696,0.877808988764045,0.877808988764045,False
2,genres,Comedy,4,20,0.2,0.32224,0.6206554121151936,0.6206554121151936,False
2,genres,Adventure,1,20,0.05,0.08256,0.6056201550387598,0.6056201550387598,False
2,genres,Drama,2,20,0.1,0.39584,0.2526273241713824,0.2526273241713824,False
3,genres,Comedy,20,20,1.0,0.32224,3.103277060575968,3.103277060575968,True
3,genres,Action,1,20,0.05,0.14528,0.3441629955947137,0.3441629955947137,False
3,genres,Drama,2,20,0.1,0.39584,0.2526273241713824,0.2526273241713824,False
4,genres,Drama,19,20,0.95,0.39584,2.399959579628132,2.399959579628132,True
4,genres,Mystery,1,20,0.05,0.03072,1.6276041666666667,1.6276041666666667,False
4,genres,Thriller,1,20,0.05,0.14016,0.3567351598173516,0.3567351598173516,False
4,genres,Comedy,1,20,0.05,0.32224,0.1551638530287984,0.1551638530287984,False
5,genres,War,6,20,0.3,0.0432,6.944444444444444,6.944444444444444,True
5,genres,Film-Noir,1,20,0.05,0.01248,4.006410256410256,4.006410256410256,False
5,genres,Thriller,6,20,0.3,0.14016,2.1404109589041096,2.1404109589041096,True
5,genres,Mystery,1,20,0.05,0.03072,1.6276041666666667,1.6276041666666667,False
5,genres,Drama,10,20,0.5,0.39584,1.2631366208569117,1.2631366208569117,True
5,genres,Adventure,2,20,0.1,0.08256,1.2112403100775195,1.2112403100775195,False
5,genres,Romance,2,20,0.1,0.13312,0.7512019230769232,0.7512019230769232,False
5,genres,Action,1,20,0.05,0.14528,0.3441629955947137,0.3441629955947137,False
5,genres,Comedy,1,20,0.05,0.32224,0.1551638530287984,0.1551638530287984,False
6,genres,Horror,14,20,0.7,0.08512,8.223684210526315,8.223684210526315,True
6,genres,Action,3,20,0.15,0.14528,1.032488986784141,1.032488986784141,True
6,genres,Comedy,5,20,0.25,0.32224,0.775819265143992,0.775819265143992,False
6,genres,Adventure,1,20,0.05,0.08256,0.6056201550387598,0.6056201550387598,False
6,genres,Romance,1,20,0.05,0.13312,0.3756009615384616,0.3756009615384616,False
6,genres,Thriller,1,20,0.05,0.14016,0.3567351598173516,0.3567351598173516,False
6,genres,Drama,1,20,0.05,0.39584,0.1263136620856912,0.1263136620856912,False
7,genres,Fantasy,8,20,0.4,0.0208,19.230769230769234,19.230769230769234,True
7,genres,Children's,14,20,0.7,0.07488,9.348290598290598,9.348290598290598,True
7,genres,Adventure,11,20,0.55,0.08256,6.661821705426358,6.661821705426358,True
7,genres,Animation,2,20,0.1,0.03264,3.063725490196078,3.063725490196078,False
7,genres,Musical,2,20,0.1,0.03392,2.94811320754717,2.94811320754717,False
7,genres,Comedy,15,20,0.75,0.32224,2.327457795431976,2.327457795431976,False
7,genres,Romance,2,20,0.1,0.13312,0.7512019230769232,0.7512019230769232,False
7,genres,Action,2,20,0.1,0.14528,0.6883259911894274,0.6883259911894274,False
7,genres,Sci-Fi,1,20,0.05,0.08032,0.6225099601593626,0.6225099601593626,False
8,genres,Western,3,20,0.15,0.0192,7.8125,7.8125,True
8,genres,Action,19,20,0.95,0.14528,6.53909691629956,6.53909691629956,True
8,genres,War,5,20,0.25,0.0432,5.787037037037036,5.787037037037036,True
8,genres,Drama,4,20,0.2,0.39584,0.5052546483427648,0.5052546483427648,False
8,genres,Comedy,2,20,0.1,0.32224,0.3103277060575968,0.3103277060575968,False
9,genres,Documentary,8,20,0.4,0.02464,16.233766233766236,16.233766233766236,True
9,genres,Fantasy,1,20,0.05,0.0208,2.403846153846154,2.403846153846154,False
9,genres,Crime,2,20,0.1,0.05696,1.75561797752809,1.75561797752809,True
9,genres,Comedy,8,20,0.4,0.32224,1.2413108242303872,1.2413108242303872,True
9,genres,Drama,8,20,0.4,0.39584,1.0105092966855296,1.0105092966855296,False
9,genres,Thriller,1,20,0.05,0.14016,0.3567351598173516,0.3567351598173516,False
10,genres,Action,17,20,0.85,0.14528,5.850770925110132,5.850770925110132,True
10,genres,Thriller,7,20,0.35,0.14016,2.497146118721461,2.497146118721461,True
10,genres,Adventure,3,20,0.15,0.08256,1.8168604651162792,1.8168604651162792,True
10,genres,Crime,2,20,0.1,0.05696,1.75561797752809,1.75561797752809,False
10,genres,Sci-Fi,2,20,0.1,0.08032,1.245019920318725,1.245019920318725,False
10,genres,Comedy,6,20,0.3,0.32224,0.9309831181727903,0.9309831181727903,False
10,genres,Drama,3,20,0.15,0.39584,0.3789409862570735,0.3789409862570735,False
