prototype,feature,value,count,topk_size,topk_freq,global_freq,lift,score,selected
0,genres,Action,7,20,0.35,0.14528,2.4091409691629955,2.4091409691629955,True
0,genres,War,2,20,0.1,0.0432,2.314814814814815,2.314814814814815,True
0,genres,Romance,5,20,0.25,0.13312,1.878004807692308,1.878004807692308,True
0,genres,Crime,2,20,0.1,0.05696,1.75561797752809,1.75561797752809,False
0,genres,Mystery,1,20,0.05,0.03072,1.6276041666666667,1.6276041666666667,False
0,genres,Comedy,8,20,0.4,0.32224,1.2413108242303872,1.2413108242303872,False
0,genres,Adventure,2,20,0.1,0.08256,1.2112403100775195,1.2112403100775195,False
0,genres,Drama,9,20,0.45,0.39584,1.1368229587712206,1.1368229587712206,False
0,genres,Thriller,1,20,0.05,0.14016,0.3567351598173516,0.3567351598173516,False
1,genres,Documentary,1,20,0.05,0.02464,2.0292207792207795,2.0292207792207795,False
1,genres,Sci-Fi,3,20,0.15,0.08032,1.8675298804780875,1.8675298804780875,True
1,genres,Animation,1,20,0.05,0.03264,1.531862745098039,1.531862745098039,False
1,genres,Romance,4,20,0.2,0.13312,1.5024038461538465,1.5024038461538465,True
1,genres,Drama,10,20,0.5,0.39584,1.2631366208569117,1.2631366208569117,True
1,genres,Adventure,2,20,0.1,0.08256,1.2112403100775195,1.2112403100775195,False
1,genres,War,1,20,0.05,0.0432,1.1574074074074074,1.1574074074074074,False
1,genres,Action,3,20,0.15,0.14528,1.032488986784141,1.032488986784141,False
1,genres,Comedy,6,20,0.3,0.32224,0.9309831181727903,0.9309831181727903,False
1,genres,Crime,1,20,0.05,0.05696,0.877808988764045,0.877808988764045,False
1,genres,Children's,1,20,0.05,0.07488,0.6677350427350428,0.6677350427350428,False
1,genres,Horror,1,20,0.05,0.08512,0.587406015037594,0.587406015037594,False
1,genres,Thriller,1,20,0.05,0.14016,0.3567351598173516,0.3567351598173516,False
2,genres,Thriller,5,20,0.25,0.14016,1.783675799086758,1.783675799086758,True
2,genres,Mystery,1,20,0.05,0.03072,1.6276041666666667,1.6276041666666667,False
2,genres,Drama,12,20,0.6,0.39584,1.515763945028294,1.515763945028294,True
2,genres,War,1,20,0.05,0.0432,1.1574074074074074,1.1574074074074074,False
2,genres,Romance,3,20,0.15,0.13312,1.1268028846153846,1.1268028846153846,True
2,genres,Comedy,7,20,0.35,0.32224,1.0861469712015888,1.0861469712015888,False
2,genres,Action,3,20,0.15,0.14528,1.032488986784141,1.032488986784141,False
2,genres,Crime,1,20,0.05,0.05696,0.877808988764045,0.877808988764045,False
2,genres,Sci-Fi,1,20,0.05,0.08032,0.6225099601593626,0.6225099601593626,False
3,genres,Animation,2,20,0.1,0.03264,3.063725490196078,3.063725490196078,True
3,genres,War,2,20,0.1,0.0432,2.314814814814815,2.314814814814815,True
3,genres,Thriller,6,20,0.3,0.14016,2.1404109589041096,2.1404109589041096,True
3,genres,Crime,2,20,0.1,0.05696,1.75561797752809,1.75561797752809,False
3,genres,Action,5,20,0.25,0.14528,1.7208149779735684,1.7208149779735684,False
3,genres,Children's,2,20,0.1,0.07488,1.3354700854700856,1.3354700854700856,False
3,genres,Sci-Fi,2,20,0.1,0.08032,1.245019920318725,1.245019920318725,False
3,genres,Drama,9,20,0.45,0.39584,1.1368229587712206,1.1368229587712206,False
3,genres,Comedy,7,20,0.35,0.32224,1.0861469712015888,1.0861469712015888,False
3,genres,Romance,2,20,0.1,0.13312,0.7512019230769232,0.7512019230769232,False
3,genres,Horror,1,20,0.05,0.08512,0.587406015037594,0.587406015037594,False
