prototype,feature,value,count,topk_size,topk_freq,global_freq,lift,score,selected
0,genres,Documentary,1,20,0.05,0.02464,2.0292207792207795,2.0292207792207795,False
0,genres,Mystery,1,20,0.05,0.03072,1.6276041666666667,1.6276041666666667,False
0,genres,Romance,4,20,0.2,0.13312,1.5024038461538465,1.5024038461538465,True
0,genres,Comedy,9,20,0.45,0.32224,1.3964746772591856,1.3964746772591856,True
0,genres,Children's,2,20,0.1,0.07488,1.3354700854700856,1.3354700854700856,True
0,genres,Adventure,2,20,0.1,0.08256,1.2112403100775195,1.2112403100775195,False
0,genres,Drama,9,20,0.45,0.39584,1.1368229587712206,1.1368229587712206,False
0,genres,Crime,1,20,0.05,0.05696,0.877808988764045,0.877808988764045,False
0,genres,Action,2,20,0.1,0.14528,0.6883259911894274,0.6883259911894274,False
0,genres,Horror,1,20,0.05,0.08512,0.587406015037594,0.587406015037594,False
0,genres,Thriller,1,20,0.05,0.14016,0.3567351598173516,0.3567351598173516,False
1,genres,Comedy,11,20,0.55,0.32224,1.7068023833167825,1.7068023833167825,True
1,genres,Animation,1,20,0.05,0.03264,1.531862745098039,1.531862745098039,False
1,genres,Romance,4,20,0.2,0.13312,1.5024038461538465,1.5024038461538465,True
1,genres,Drama,11,20,0.55,0.39584,1.3894502829426032,1.3894502829426032,True
1,genres,Children's,2,20,0.1,0.07488,1.3354700854700856,1.3354700854700856,False
1,genres,War,1,20,0.05,0.0432,1.1574074074074074,1.1574074074074074,False
1,genres,Sci-Fi,1,20,0.05,0.08032,0.6225099601593626,0.6225099601593626,False
1,genres,Adventure,1,20,0.05,0.08256,0.6056201550387598,0.6056201550387598,False
2,genres,Film-Noir,1,20,0.05,0.01248,4.006410256410256,4.006410256410256,False
2,genres,Fantasy,1,20,0.05,0.0208,2.403846153846154,2.403846153846154,False
2,genres,War,2,20,0.1,0.0432,2.314814814814815,2.314814814814815,True
2,genres,Thriller,6,20,0.3,0.14016,2.1404109589041096,2.1404109589041096,True
2,genres,Documentary,1,20,0.05,0.02464,2.0292207792207795,2.0292207792207795,False
2,genres,Sci-Fi,3,20,0.15,0.08032,1.8675298804780875,1.8675298804780875,True
2,genres,Crime,2,20,0.1,0.05696,1.75561797752809,1.75561797752809,False
2,genres,Mystery,1,20,0.05,0.03072,1.6276041666666667,1.6276041666666667,False
2,genres,Musical,1,20,0.05,0.03392,1.474056603773585,1.474056603773585,False
2,genres,Action,4,20,0.2,0.14528,1.3766519823788548,1.3766519823788548,False
2,genres,Children's,2,20,0.1,0.07488,1.3354700854700856,1.3354700854700856,False
2,genres,Adventure,2,20,0.1,0.08256,1.2112403100775195,1.2112403100775195,False
2,genres,Horror,2,20,0.1,0.08512,1.174812030075188,1.174812030075188,False
2,genres,Romance,3,20,0.15,0.13312,1.1268028846153846,1.1268028846153846,False
2,genres,Comedy,4,20,0.2,0.32224,0.6206554121151936,0.6206554121151936,False
2,genres,Drama,4,20,0.2,0.39584,0.5052546483427648,0.5052546483427648,False
3,genres,Sci-Fi,4,20,0.2,0.08032,2.49003984063745,2.49003984063745,True
3,genres,Children's,3,20,0.15,0.07488,2.003205128205128,2.003205128205128,True
3,genres,Horror,3,20,0.15,0.08512,1.7622180451127818,1.7622180451127818,True
3,genres,Romance,4,20,0.2,0.13312,1.5024038461538465,1.5024038461538465,False
3,genres,Thriller,3,20,0.15,0.14016,1.0702054794520548,1.0702054794520548,False
3,genres,Drama,8,20,0.4,0.39584,1.0105092966855296,1.0105092966855296,False
3,genres,Crime,1,20,0.05,0.05696,0.877808988764045,0.877808988764045,False
3,genres,Comedy,4,20,0.2,0.32224,0.6206554121151936,0.6206554121151936,False
3,genres,Adventure,1,20,0.05,0.08256,0.6056201550387598,0.6056201550387598,False
4,genres,Drama,12,20,0.6,0.39584,1.515763945028294,1.515763945028294,True
4,genres,Romance,4,20,0.2,0.13312,1.5024038461538465,1.5024038461538465,True
4,genres,Comedy,6,20,0.3,0.32224,0.9309831181727903,0.9309831181727903,False
4,genres,Crime,1,20,0.05,0.05696,0.877808988764045,0.877808988764045,False
4,genres,Thriller,2,20,0.1,0.14016,0.7134703196347032,0.7134703196347032,False
4,genres,Action,2,20,0.1,0.14528,0.6883259911894274,0.6883259911894274,False
4,genres,Sci-Fi,1,20,0.05,0.08032,0.6225099601593626,0.6225099601593626,False
4,genres,Horror,1,20,0.05,0.08512,0.587406015037594,0.587406015037594,False
5,genres,Musical,2,20,0.1,0.03392,2.94811320754717,2.94811320754717,True
5,genres,Fantasy,1,20,0.05,0.0208,2.403846153846154,2.403846153846154,False
5,genres,Horror,3,20,0.15,0.08512,1.7622180451127818,1.7622180451127818,True
5,genres,Animation,1,20,0.05,0.03264,1.531862745098039,1.531862745098039,False
5,genres,Children's,2,20,0.1,0.07488,1.3354700854700856,1.3354700854700856,True
5,genres,Adventure,2,20,0.1,0.08256,1.2112403100775195,1.2112403100775195,False
5,genres,Romance,3,20,0.15,0.13312,1.1268028846153846,1.1268028846153846,False
5,genres,Action,3,20,0.15,0.14528,1.032488986784141,1.032488986784141,False
5,genres,Comedy,6,20,0.3,0.32224,0.9309831181727903,0.9309831181727903,False
5,genres,Thriller,2,20,0.1,0.14016,0.7134703196347032,0.7134703196347032,False
5,genres,Sci-Fi,1,20,0.05,0.08032,0.6225099601593626,0.6225099601593626,False
5,genres,Drama,4,20,0.2,0.39584,0.5052546483427648,0.5052546483427648,False
6,genres,Film-Noir,1,20,0.05,0.01248,4.006410256410256,4.006410256410256,False
6,genres,War,3,20,0.15,0.0432,3.472222222222222,3.472222222222222,True
6,genres,Children's,3,20,0.15,0.07488,2.003205128205128,2.003205128205128,True
6,genres,Sci-Fi,3,20,0.15,0.08032,1.8675298804780875,1.8675298804780875,True
6,genres,Crime,2,20,0.1,0.05696,1.75561797752809,1.75561797752809,False
6,genres,Action,5,20,0.25,0.14528,1.7208149779735684,1.7208149779735684,False
6,genres,Musical,1,20,0.05,0.03392,1.474056603773585,1.474056603773585,False
6,genres,Adventure,2,20,0.1,0.08256,1.2112403100775195,1.2112403100775195,False
6,genres,Horror,2,20,0.1,0.08512,1.174812030075188,1.174812030075188,False
6,genres,Comedy,7,20,0.35,0.32224,1.0861469712015888,1.0861469712015888,False
6,genres,Drama,7,20,0.35,0.39584,0.8841956345998382,0.8841956345998382,False
6,genres,Thriller,2,20,0.1,0.14016,0.7134703196347032,0.7134703196347032,False
6,genres,Romance,1,20,0.05,0.13312,0.3756009615384616,0.3756009615384616,False
7,genres,Adventure,3,20,0.15,0.08256,1.8168604651162792,1.8168604651162792,True
7,genres,Mystery,1,20,0.05,0.03072,1.6276041666666667,1.6276041666666667,False
7,genres,Musical,1,20,0.05,0.03392,1.474056603773585,1.474056603773585,False
7,genres,Thriller,4,20,0.2,0.14016,1.4269406392694064,1.4269406392694064,True
7,genres,Drama,9,20,0.45,0.39584,1.1368229587712206,1.1368229587712206,True
7,genres,Comedy,7,20,0.35,0.32224,1.0861469712015888,1.0861469712015888,False
7,genres,Action,3,20,0.15,0.14528,1.032488986784141,1.032488986784141,False
7,genres,Crime,1,20,0.05,0.05696,0.877808988764045,0.877808988764045,False
7,genres,Romance,2,20,0.1,0.13312,0.7512019230769232,0.7512019230769232,False
7,genres,Children's,1,20,0.05,0.07488,0.6677350427350428,0.6677350427350428,False
7,genres,Sci-Fi,1,20,0.05,0.08032,0.6225099601593626,0.6225099601593626,False
7,genres,Horror,1,20,0.05,0.08512,0.587406015037594,0.587406015037594,False
8,genres,Thriller,6,20,0.3,0.14016,2.1404109589041096,2.1404109589041096,True
8,genres,Mystery,1,20,0.05,0.03072,1.6276041666666667,1.6276041666666667,False
8,genres,Animation,1,20,0.05,0.03264,1.531862745098039,1.531862745098039,False
8,genres,Musical,1,20,0.05,0.03392,1.474056603773585,1.474056603773585,False
8,genres,Horror,2,20,0.1,0.08512,1.174812030075188,1.174812030075188,True
8,genres,Drama,8,20,0.4,0.39584,1.0105092966855296,1.0105092966855296,True
8,genres,Crime,1,20,0.05,0.05696,0.877808988764045,0.877808988764045,False
8,genres,Children's,1,20,0.05,0.07488,0.6677350427350428,0.6677350427350428,False
8,genres,Sci-Fi,1,20,0.05,0.08032,0.6225099601593626,0.6225099601593626,False
8,genres,Comedy,4,20,0.2,0.32224,0.6206554121151936,0.6206554121151936,False
8,genres,Romance,1,20,0.05,0.13312,0.3756009615384616,0.3756009615384616,False
