prototype,feature,value,count,topk_size,topk_freq,global_freq,lift,score,selected
0,genres,Drama,18,20,0.9,0.39584,2.2736459175424413,0.9,True
0,genres,Crime,5,20,0.25,0.05696,4.389044943820225,0.25,True
0,genres,Thriller,2,20,0.1,0.14016,0.7134703196347032,0.1,True
0,genres,Comedy,1,20,0.05,0.32224,0.1551638530287984,0.05,False
1,genres,Horror,16,20,0.8,0.08512,9.398496240601505,0.8,True
1,genres,Sci-Fi,12,20,0.6,0.08032,7.47011952191235,0.6,True
1,genres,Action,7,20,0.35,0.14528,2.4091409691629955,0.35,True
1,genres,Thriller,5,20,0.25,0.14016,1.783675799086758,0.25,False
1,genres,Adventure,3,20,0.15,0.08256,1.8168604651162792,0.15,False
1,genres,Comedy,2,20,0.1,0.32224,0.3103277060575968,0.1,False
1,genres,Animation,1,20,0.05,0.03264,1.531862745098039,0.05,False
1,genres,Western,1,20,0.05,0.0192,2.604166666666667,0.05,False
2,genres,Drama,13,20,0.65,0.39584,1.6420776071139853,0.65,True
2,genres,Comedy,11,20,0.55,0.32224,1.7068023833167825,0.55,True
2,genres,Romance,2,20,0.1,0.13312,0.7512019230769232,0.1,True
2,genres,Musical,1,20,0.05,0.03392,1.474056603773585,0.05,False
3,genres,Children's,14,20,0.7,0.07488,9.348290598290598,0.7,True
3,genres,Animation,10,20,0.5,0.03264,15.318627450980392,0.5,True
3,genres,Musical,7,20,0.35,0.03392,10.318396226415095,0.35,True
3,genres,Sci-Fi,6,20,0.3,0.08032,3.735059760956175,0.3,False
3,genres,Fantasy,6,20,0.3,0.0208,14.423076923076923,0.3,False
3,genres,Adventure,6,20,0.3,0.08256,3.6337209302325584,0.3,False
3,genres,Romance,2,20,0.1,0.13312,0.7512019230769232,0.1,False
3,genres,Thriller,1,20,0.05,0.14016,0.3567351598173516,0.05,False
3,genres,Horror,1,20,0.05,0.08512,0.587406015037594,0.05,False
3,genres,Drama,1,20,0.05,0.39584,0.1263136620856912,0.05,False
3,genres,Action,1,20,0.05,0.14528,0.3441629955947137,0.05,False
3,genres,Comedy,1,20,0.05,0.32224,0.1551638530287984,0.05,False
4,genres,Drama,11,20,0.55,0.39584,1.3894502829426032,0.55,True
4,genres,Romance,10,20,0.5,0.13312,3.756009615384616,0.5,True
4,genres,Musical,6,20,0.3,0.03392,8.84433962264151,0.3,True
4,genres,Comedy,5,20,0.25,0.32224,0.775819265143992,0.25,False
4,genres,Adventure,3,20,0.15,0.08256,1.8168604651162792,0.15,False
4,genres,Children's,2,20,0.1,0.07488,1.3354700854700856,0.1,False
4,genres,War,2,20,0.1,0.0432,2.314814814814815,0.1,False
4,genres,Action,2,20,0.1,0.14528,0.6883259911894274,0.1,False
4,genres,Animation,1,20,0.05,0.03264,1.531862745098039,0.05,False
4,genres,Thriller,1,20,0.05,0.14016,0.3567351598173516,0.05,False
4,genres,Sci-Fi,1,20,0.05,0.08032,0.6225099601593626,0.05,False
5,genres,Comedy,19,20,0.95,0.32224,2.9481132075471694,0.95,True
5,genres,Animation,8,20,0.4,0.03264,12.254901960784313,0.4,True
5,genres,Children's,4,20,0.2,0.07488,2.670940170940171,0.2,True
5,genres,Action,2,20,0.1,0.14528,0.6883259911894274,0.1,False
5,genres,Thriller,1,20,0.05,0.14016,0.3567351598173516,0.05,False
5,genres,Romance,1,20,0.05,0.13312,0.3756009615384616,0.05,False
5,genres,Adventure,1,20,0.05,0.08256,0.6056201550387598,0.05,False
5,genres,Sci-Fi,1,20,0.05,0.08032,0.6225099601593626,0.05,False
6,genres,Drama,14,20,0.7,0.39584,1.7683912691996764,0.7,True
6,genres,Romance,12,20,0.6,0.13312,4.507211538461538,0.6,True
6,genres,Comedy,4,20,0.2,0.32224,0.6206554121151936,0.2,True
6,genres,Thriller,3,20,0.15,0.14016,1.0702054794520548,0.15,False
6,genres,Mystery,3,20,0.15,0.03072,4.8828125,0.15,False
6,genres,Crime,2,20,0.1,0.05696,1.75561797752809,0.1,False
6,genres,Film-Noir,2,20,0.1,0.01248,8.012820512820513,0.1,False
6,genres,War,2,20,0.1,0.0432,2.314814814814815,0.1,False
6,genres,Musical,2,20,0.1,0.03392,2.94811320754717,0.1,False
6,genres,Action,1,20,0.05,0.14528,0.3441629955947137,0.05,False
7,genres,Drama,14,20,0.7,0.39584,1.7683912691996764,0.7,True
7,genres,Romance,11,20,0.55,0.13312,4.1316105769230775,0.55,True
7,genres,Thriller,3,20,0.15,0.14016,1.0702054794520548,0.15,False
7,genres,Mystery,3,20,0.15,0.03072,4.8828125,0.15,True
7,genres,Crime,2,20,0.1,0.05696,1.75561797752809,0.1,False
7,genres,Film-Noir,2,20,0.1,0.01248,8.012820512820513,0.1,False
7,genres,War,2,20,0.1,0.0432,2.314814814814815,0.1,False
7,genres,Musical,2,20,0.1,0.03392,2.94811320754717,0.1,False
7,genres,Comedy,2,20,0.1,0.32224,0.3103277060575968,0.1,False
7,genres,Action,1,20,0.05,0.14528,0.3441629955947137,0.05,False
8,genres,Comedy,19,20,0.95,0.32224,2.9481132075471694,0.95,True
8,genres,Animation,8,20,0.4,0.03264,12.254901960784313,0.4,True
8,genres,Children's,3,20,0.15,0.07488,2.003205128205128,0.15,True
8,genres,Action,2,20,0.1,0.14528,0.6883259911894274,0.1,False
8,genres,Romance,1,20,0.05,0.13312,0.3756009615384616,0.05,False
8,genres,Adventure,1,20,0.05,0.08256,0.6056201550387598,0.05,False
8,genres,Thriller,1,20,0.05,0.14016,0.3567351598173516,0.05,False
8,genres,Sci-Fi,1,20,0.05,0.08032,0.6225099601593626,0.05,False
8,genres,Musical,1,20,0.05,0.03392,1.474056603773585,0.05,False
8,genres,Drama,1,20,0.05,0.39584,0.1263136620856912,0.05,False
9,genres,Comedy,8,20,0.4,0.32224,1.2413108242303872,0.4,True
9,genres,Drama,7,20,0.35,0.39584,0.8841956345998382,0.35,True
9,genres,Film-Noir,5,20,0.25,0.01248,20.03205128205128,0.25,True
9,genres,Thriller,3,20,0.15,0.14016,1.0702054794520548,0.15,False
9,genres,Crime,3,20,0.15,0.05696,2.633426966292135,0.15,False
9,genres,War,2,20,0.1,0.0432,2.314814814814815,0.1,False
9,genres,Musical,2,20,0.1,0.03392,2.94811320754717,0.1,False
9,genres,Romance,1,20,0.05,0.13312,0.3756009615384616,0.05,False
9,genres,Western,1,20,0.05,0.0192,2.604166666666667,0.05,False
9,genres,Mystery,1,20,0.05,0.03072,1.6276041666666667,0.05,False
9,genres,Horror,1,20,0.05,0.08512,0.587406015037594,0.05,False
10,genres,Thriller,14,20,0.7,0.14016,4.994292237442922,0.7,True
10,genres,Action,13,20,0.65,0.14528,4.474118942731278,0.65,True
10,genres,Drama,4,20,0.2,0.39584,0.5052546483427648,0.2,True
10,genres,Sci-Fi,3,20,0.15,0.08032,1.8675298804780875,0.15,False
10,genres,Comedy,3,20,0.15,0.32224,0.46549155908639517,0.15,False
10,genres,Crime,3,20,0.15,0.05696,2.633426966292135,0.15,False
10,genres,Romance,2,20,0.1,0.13312,0.7512019230769232,0.1,False
10,genres,War,2,20,0.1,0.0432,2.314814814814815,0.1,False
10,genres,Adventure,2,20,0.1,0.08256,1.2112403100775195,0.1,False
10,genres,Mystery,2,20,0.1,0.03072,3.2552083333333335,0.1,False
11,genres,Drama,12,20,0.6,0.39584,1.515763945028294,0.6,True
11,genres,Comedy,9,20,0.45,0.32224,1.3964746772591856,0.45,True
11,genres,Romance,4,20,0.2,0.13312,1.5024038461538465,0.2,True
11,genres,Thriller,3,20,0.15,0.14016,1.0702054794520548,0.15,False
11,genres,Action,1,20,0.05,0.14528,0.3441629955947137,0.05,False
12,genres,Horror,12,20,0.6,0.08512,7.048872180451127,0.6,True
12,genres,Sci-Fi,8,20,0.4,0.08032,4.9800796812749,0.4,True
12,genres,Action,7,20,0.35,0.14528,2.4091409691629955,0.35,True
12,genres,Comedy,6,20,0.3,0.32224,0.9309831181727903,0.3,False
12,genres,Thriller,5,20,0.25,0.14016,1.783675799086758,0.25,False
12,genres,Adventure,3,20,0.15,0.08256,1.8168604651162792,0.15,False
12,genres,Animation,1,20,0.05,0.03264,1.531862745098039,0.05,False
12,genres,Western,1,20,0.05,0.0192,2.604166666666667,0.05,False
13,genres,Horror,10,20,0.5,0.08512,5.87406015037594,0.5,True
13,genres,Action,8,20,0.4,0.14528,2.7533039647577096,0.4,True
13,genres,Thriller,7,20,0.35,0.14016,2.497146118721461,0.35,True
13,genres,Drama,6,20,0.3,0.39584,0.757881972514147,0.3,False
13,genres,Sci-Fi,5,20,0.25,0.08032,3.112549800796813,0.25,False
13,genres,Crime,3,20,0.15,0.05696,2.633426966292135,0.15,False
13,genres,War,2,20,0.1,0.0432,2.314814814814815,0.1,False
13,genres,Film-Noir,1,20,0.05,0.01248,4.006410256410256,0.05,False
13,genres,Mystery,1,20,0.05,0.03072,1.6276041666666667,0.05,False
14,genres,Drama,16,20,0.8,0.39584,2.021018593371059,0.8,True
14,genres,Crime,9,20,0.45,0.05696,7.900280898876405,0.45,True
14,genres,Thriller,4,20,0.2,0.14016,1.4269406392694064,0.2,True
14,genres,Action,2,20,0.1,0.14528,0.6883259911894274,0.1,False
14,genres,Comedy,1,20,0.05,0.32224,0.1551638530287984,0.05,False
14,genres,Romance,1,20,0.05,0.13312,0.3756009615384616,0.05,False
15,genres,Sci-Fi,12,20,0.6,0.08032,7.47011952191235,0.6,True
15,genres,Action,11,20,0.55,0.14528,3.785792951541851,0.55,True
15,genres,Horror,10,20,0.5,0.08512,5.87406015037594,0.5,True
15,genres,Thriller,7,20,0.35,0.14016,2.497146118721461,0.35,False
15,genres,Adventure,4,20,0.2,0.08256,2.422480620155039,0.2,False
15,genres,Comedy,4,20,0.2,0.32224,0.6206554121151936,0.2,False
15,genres,Animation,1,20,0.05,0.03264,1.531862745098039,0.05,False
15,genres,Western,1,20,0.05,0.0192,2.604166666666667,0.05,False
15,genres,War,1,20,0.05,0.0432,1.1574074074074074,0.05,False
